suite,case,variant,type,size,cycles_per_unit,instructions_per_unit,ipc,branches_per_unit,branch_miss_pct,l1_loads_per_unit,l1_miss_pct,true_error,reported_error,evaluations,accepted,rejected
ode_fixed,rk4,scalar_reference,f32,2,55.404814453125,47.6426416015625,0.8599008399294046,3.0512939453125,0.32821041311945515,3.0801123046875,0.001585278470016043,5.092622927804769e-7,0.0,500,100,0
ode_fixed,euler,workspace,f32,2,40.99376953125,66.8801611328125,1.6314713649797201,5.0800390625,0.19732946812355343,7.100087890625,8.940250244481459e-4,0.0050124735571444035,0.0,202,101,0
ode_fixed,midpoint,workspace,f32,2,54.00525390625,84.0801708984375,1.5568887250191588,6.0900439453125,0.1644430903434784,13.1800927734375,4.8160937552676027e-4,1.7344234947813675e-5,0.0,303,101,0
ode_fixed,rk4,workspace,f32,2,86.725517578125,114.39015625,1.3189907026399854,6.080048828125,0.16495421596955975,16.2001123046875,5.726717427486194e-4,5.092622927804769e-7,0.0,505,101,0
ode_fixed,rk4,scalar_reference,f64,2,68.2107275390625,47.192646484375,0.6918654614459141,3.0212939453125,0.33195369456058155,3.060078125,0.00159564962087365,8.333444638572813e-11,0.0,500,100,0
ode_fixed,euler,workspace,f64,2,26.5000048828125,59.250166015625,2.2358550936292945,5.030029296875,0.19900014560986265,7.030048828125,6.945630989738525e-4,0.0050123810031232246,0.0,200,100,0
ode_fixed,midpoint,workspace,f64,2,43.157021484375,68.2901611328125,1.582365019271243,6.0200341796875,0.16643631620953456,9.030078125,7.029458839814855e-4,1.6666636447414762e-5,0.0,300,100,0
ode_fixed,rk4,workspace,f64,2,86.63564453125,101.32015625,1.169497344865406,6.030048828125,0.16640295913855901,18.0301220703125,4.062208113421184e-4,8.333444638572813e-11,0.0,500,100,0
ode_adaptive,rk23,pi_controller,f32,2,5374.01953125,10739.05859375,1.9983289102881412,2115.01171875,0.09502385292634682,2409.01953125,0.0036483952330878637,2.6452713427715935e-5,9.999999747378752e-6,37,12,0
ode_adaptive,rk45,pi_controller,f32,2,2359.82421875,4044.0546875,1.7137109656274054,684.009765625,0.15047942115392304,801.0078125,0.00950950462795892,9.62942522164667e-7,9.999999747378752e-6,25,4,0
ode_adaptive,dop853,pi_controller,f32,2,3595.57421875,8725.1015625,2.4266236595119652,1104.01953125,0.18717116785609403,1795.01171875,0.009575146401812314,2.980232238769531e-7,9.999999747378752e-6,49,4,0
ode_adaptive,rk23_tol1e-4,pi_controller,f64,2,3525.43359375,6614.060546875,1.8760984630658242,1334.013671875,0.22620293844205472,1504.0078125,0.0035062567203253806,2.364045522147788e-4,1e-4,22,7,0
ode_adaptive,rk45_tol1e-4,pi_controller,f64,2,1802.880859375,2958.05859375,1.640739918208163,547.01171875,0.1849531011779156,723.009765625,0.008644419891890723,7.154779347608012e-6,1e-4,19,3,0
ode_adaptive,dop853_tol1e-4,pi_controller,f64,2,2748.046875,5923.1328125,2.155397299218195,867.01953125,0.16219357803538523,1447.01171875,0.012957738874566388,1.7561114640934902e-10,1e-4,37,3,0
ode_adaptive,rk23_tol1e-8,pi_controller,f64,2,59121.5859375,111686.07421875,1.8890913098443978,22740.02734375,0.013527565700380481,25729.072265625,3.795560772849048e-4,2.8816226402184846e-8,1e-8,349,114,2
ode_adaptive,rk45_tol1e-8,pi_controller,f64,2,7073.392578125,11319.060546875,1.6002305073176686,2156.013671875,0.24803443130995337,2827.01953125,0.002625335593885455,3.2288433950301897e-9,1e-8,67,11,0
ode_adaptive,dop853_tol1e-8,pi_controller,f64,2,3745.85546875,7955.1328125,2.123715898508664,1173.01953125,0.2297748206757378,1948.01171875,0.01022677369352966,1.6664283409155755e-10,1e-8,49,4,0
ode_adaptive,rk23_tol1e-12,pi_controller,f64,2,1257094.2578125,2377613.380859375,1.8913564882530904,484785.333984375,0.0016812370452738766,548449.33203125,1.8197613619792025e-4,2.898914190519263e-12,1e-12,7351,2447,3
ode_adaptive,rk45_tol1e-12,pi_controller,f64,2,38840.173828125,63259.068359375,1.6287019888043797,12117.021484375,0.01677972699497011,15883.052734375,6.517364102506086e-4,3.6481741073856344e-13,1e-12,367,60,1
ode_adaptive,dop853_tol1e-12,pi_controller,f64,2,6707.84375,14058.13671875,2.095775235149149,2094.0234375,0.3577897621388291,3451.01171875,0.0063387208687669715,9.379249270799177e-14,1e-12,85,7,0
ode_feature,dense_output_65,rk45_cubic_hermite,f64,2,17895.421875,31590.15234375,1.7652644662086234,5740.0234375,0.506313263638133,7020.0625,0.007790168473522052,3.587251088463767e-11,0.0,151,24,1
ode_feature,terminal_event,brent_guarded,f64,2,26785.23828125,41881.14453125,1.5635905154731187,7883.03125,0.0899380393804731,10087.0625,0.0019749927196346805,9.292344671507635e-12,0.0,236,38,1
ode_feature,runtime_state,rk45_pointer_length,f64,2,18172.08203125,31502.13671875,1.733545812999121,5719.0234375,0.5079675152144365,6946.0625,0.004611425537849681,3.587251088463767e-11,0.0,151,24,1
ode_oracle,kepler_period,dop853,f64,4,49325.734375,96094.640625,1.9481644184846463,14689.09375,0.2071051864584907,22978.15625,0.004691952892792956,6.589126880242727e-10,1e-10,433,33,3
ode_oracle,reverse_time,rk45,f64,2,16070.0234375,25636.140625,1.5952771148533056,4945.02734375,0.08183726233819169,6009.0390625,0.002795266249110228,7.066360395726524e-11,1e-10,151,25,0
ode_oracle,lorenz_t1,rk45,f64,3,206424.5546875,387382.3046875,1.8766289953922708,62807.1015625,0.0685755540153456,94603.2578125,5.945885505037734e-4,0.0,1e-10,1855,307,2
