suite,case,variant,type,size,cycles_per_unit,instructions_per_unit,ipc,branches_per_unit,branch_miss_pct,l1_loads_per_unit,l1_miss_pct,true_error,reported_error,evaluations,accepted,rejected
sampled,trapezoid,scalar_reference,f32,2048,2.9423789978027344,1.0796890258789062,0.3669442402508923,0.025409698486328125,1.9366461492268428,1.0004997253417969,0.04804117815270231,0.0,0.0,0,0,0
sampled,trapezoid,optimized,f32,2048,0.17318344116210938,0.15927886962890625,0.9197118879270468,0.004901885986328125,0.07782101167315175,0.13331222534179688,0.3605459696111254,0.0,0.0,0,0,0
sampled,simpson,uniform,f32,2048,2.8654441833496094,1.0689468383789062,0.3730475172366969,0.021015167236328125,0.036304229442730075,1.0004997253417969,0.04842245734439043,0.0,0.0,0,0,0
sampled,trapezoid,irregular,f32,2048,3.0377655029296875,2.7583999633789062,0.9080358443463279,0.042011260986328125,1.1622627803504948,0.5048942565917969,0.18964149446564166,0.0,0.0,0,0,0
sampled,simpson,irregular,f32,2048,14.223217010498047,15.244255065917969,1.0717867170743651,1.2500228881835938,0.03967212514419292,2.003948211669922,0.08128332473544847,0.0,0.0,0,0,0
sampled,cumulative_trapezoid,scalar_reference,f32,2048,4.963382720947266,5.182716369628906,1.0441903558546823,0.09132766723632812,0.5388246105008145,2.0000343322753906,0.06351361918912372,0.0,0.0,0,0,0
sampled,cumulative_trapezoid,optimized,f32,2048,1.7749481201171875,2.9043960571289062,1.6363272955477421,0.050800323486328125,0.9686866411353908,0.5034294128417969,0.19398201119943018,0.0,0.0,0,0,0
sampled,cumulative_simpson,uniform,f32,2048,2.831451416015625,5.143653869628906,1.816613854129617,0.07179641723632812,0.685404601243292,1.0009880065917969,0.09794095341897768,0.0,0.0,0,0,0
sampled,cumulative_trapezoid,irregular,f32,2048,4.988346099853516,8.284767150878906,1.66082444662815,0.14308547973632812,0.34391745980964566,3.0005264282226562,0.08467142148823373,0.0,0.0,0,0,0
sampled,cumulative_simpson,irregular,f32,2048,14.292778015136719,16.825302124023438,1.1771890745245366,2.1650619506835938,0.022728954573805672,3.5000457763671875,0.08065192916144881,0.0,0.0,0,0,0
differentiate,uniform_gradient,scalar_reference,f32,2048,1.7974777221679688,0.5538101196289062,0.3081040242106291,0.014667510986328125,0.02600780234070221,0.2548942565917969,0.38611772100749786,0.0,0.0,0,0,0
differentiate,uniform_gradient,optimized,f32,2048,0.6288375854492188,1.0884933471679688,1.7309610181624062,0.026874542236328125,1.831085876508162,0.5034446716308594,0.19549157037317674,0.0,0.0,0,0,0
sampled,trapezoid,scalar_reference,f64,2048,2.9423561096191406,1.0796890258789062,0.3669470946596812,0.025409698486328125,1.9366461492268428,1.0004997253417969,0.09875131064722142,0.0,0.0,0,0,0
